rank,uri,,,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,spotify:track:5ThyDv6aRVU8AH4vXQNldF,Finding Her,,"Kushagra, Bharath, Saaheal",Finding Her,EYP Creations,1,1,11,8204332
2,spotify:track:4vHRQnzGcKEtqsLH70tAms,"Raanjhan (From ""Do Patti"")",,"Sachet-Parampara, Parampara Tandon, Kausar Munir","Raanjhan (From ""Do Patti"")",T-Series,1,2,31,6023059
3,spotify:track:5UGrftqh9U3zKQUt3vs7Ob,Supreme,,Shubh,Supreme,Shubh,3,3,5,5983262
4,spotify:track:5FDVyL6VahLO3B4T7xRYD9,Qatal,,"Guru Randhawa, Sanjoy, Gill Machhrai",Qatal,Warner Music India,4,4,4,5498417
5,spotify:track:0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,,Anuv Jain,Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,5,41,4917267
6,spotify:track:1hlbywc8Jhl1FFqJxAMabE,Ishq,,"Faheem Abdullah, Rauhan Malik, Amir Ameer",Ishq,Artiste First,2,6,60,4407126
7,spotify:track:1hA697u7e1jX2XM8sWA6Uy,Apna Bana Le,,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Apna Bana Le,Zee Music Company,1,10,100,4064448
8,spotify:track:6nRGPf5tpeJtKpXZO5cgIT,Paro,,"Aditya Rikhari, UNPLG'd",Paro,Universal Music India Pvt Ltd.,7,7,11,4022803
9,spotify:track:3vCzLB6kS2lGcIpm1OOUsy,Ishq Hai,,"Anurag Saikia, Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast",Ishq Hai,Netflix Music,1,8,23,3896261
10,spotify:track:2cPUB8EOT6AfJ8oxhyoNXL,Ye Tune Kya Kiya,,"Pritam, Javed Bashir",Ye Tune Kya Kiya,T-Series,10,11,66,3793226
11,spotify:track:44LaY2y6wRRlSRjsqbKnuU,Jhol - Acoustic,,"Maanu, Annural Khalid, Abdullah Siddiqui",Jhol - Acoustic,Yain,11,18,13,3660815
12,spotify:track:4FeczSomVWVyU4FW7xDeAI,Tere Bina,,"A.R. Rahman, Chinmayi, Murtuza Khan, Qadir Khan",Tere Bina,Sony Music Entertainment India Pvt. Ltd.,12,13,40,3428227
13,spotify:track:5wqMM6wOwXmX4rc1C3lUkd,Courtside,,"Karan Aujla, Signature By SB",Courtside,Karan Aujla Music,13,-1,1,3377052
14,spotify:track:5zCnGtCl5Ac5zlFHXaZmhy,Sajni,,"Ram Sampath, Arijit Singh, Prashant Pandey","Sajni (From ""Laapataa Ladies"")",T-Series,1,15,55,3243608
15,spotify:track:4ulroyDK6rN73nVkCkWhur,Sahiba,,"Jasleen Royal, Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma",Sahiba,Warner Music India,1,12,26,3209857
